type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
16,2020-12-04 10:59:56+0000,3942,0.0,1.8000001,0.0,0.0,249.0
9,2020-12-04 10:40:22+0000,814,1.4084507,0.232396,71.0,11.389758,39.0
9,2020-12-01 12:22:05+0000,1071,0.85470086,0.06842753,3509.0,0.30520862,91.0
16,2020-12-01 11:13:14+0000,3700,0.0,1.8000001,0.0,0.0,232.0
9,2020-12-01 10:53:43+0000,815,1.3986014,0.06831068,3401.0,0.23930106,78.0
9,2020-11-30 13:29:56+0000,1029,4.7393365,0.06652032,3471.0,0.2961101,66.0
16,2020-11-30 12:22:30+0000,3663,0.0,1.8000001,0.0,0.0,212.0
9,2020-11-29 13:08:42+0000,2883,1.4084507,0.06595871,11627.0,0.24786992,340.0
9,2020-11-28 22:47:08+0000,3024,1.2820513,0.06221614,11097.0,0.27239743,333.0
9,2020-11-28 14:06:12+0000,1014,1.2048193,0.06627344,3419.0,0.29654503,76.0
16,2020-11-28 12:50:01+0000,4210,0.0,1.8000001,0.0,0.0,208.0
9,2020-11-28 12:28:07+0000,700,9.90099,0.0591471,3525.0,0.19855273,41.0
9,2020-11-27 23:11:46+0000,2796,8.62069,0.0695749,9001.0,0.31060067,406.0
9,2020-11-26 13:25:18+0000,1144,0.88809943,0.078678206,3580.0,0.3195496,75.0
16,2020-11-26 12:17:52+0000,3807,0.0,1.8000001,0.0,0.0,213.0
9,2020-11-26 11:58:25+0000,689,1.2722646,0.07133686,3443.0,0.20009118,62.0
9,2020-11-25 14:40:40+0000,1055,1.1614401,0.1839588,3348.0,0.3147658,43.0
16,2020-11-25 13:35:55+0000,3662,0.0,1.8000001,0.0,0.0,170.0
9,2020-11-25 13:15:51+0000,920,8.196721,0.052162122,3778.0,0.24323264,60.0
8,2020-11-22 16:57:54+0000,10265,1.6593585,0.71264064,164.0,62.271,6.0
9,2020-11-18 17:30:31+0000,1015,1.4104372,0.19681166,3376.0,0.3002784,70.0
16,2020-11-18 16:24:20+0000,3605,0.0,1.8000001,0.0,0.0,132.0
9,2020-11-18 16:06:36+0000,731,0.37495312,0.055775557,4352.0,0.16773498,59.0
9,2020-11-17 17:37:32+0000,710,0.73313785,0.19860974,2573.0,0.27553523,66.0
9,2020-11-17 17:24:06+0000,450,0.5854801,0.2840909,1071.0,0.42002583,24.0
16,2020-11-17 16:21:37+0000,3499,0.0,1.8000001,0.0,0.0,135.0
9,2020-11-17 16:02:59+0000,846,3.0395138,0.072327495,1439.0,0.58760774,49.0
9,2020-11-16 17:33:17+0000,1235,0.5652911,0.3984064,1639.0,0.7530948,103.0
16,2020-11-16 16:26:54+0000,3671,0.0,1.8000001,0.0,0.0,168.0
9,2020-11-16 16:07:34+0000,859,0.77881616,0.13368984,3233.0,0.26563612,69.0
9,2020-11-13 12:07:28+0000,1259,1.8518518,0.06965243,3530.0,0.3565599,113.0
16,2020-11-13 11:03:36+0000,3628,0.0,1.8000001,0.0,0.0,198.0
9,2020-11-13 10:39:00+0000,938,0.9345794,0.070062354,3489.0,0.26850504,97.0
9,2020-11-12 17:33:32+0000,1130,1.6666666,0.06676904,3483.0,0.32408616,110.0
16,2020-11-12 17:07:58+0000,1316,0.0,1.8000001,0.0,0.0,52.0
16,2020-11-12 16:30:50+0000,2164,0.0,1.8000001,0.0,0.0,86.0
9,2020-11-12 16:10:42+0000,733,0.83263946,0.07092702,3459.0,0.21161954,68.0
9,2020-11-11 12:09:58+0000,1426,0.6234414,0.1650165,3654.0,0.39023724,112.0
16,2020-11-11 11:03:20+0000,3743,0.0,1.8000001,0.0,0.0,250.0
9,2020-11-11 10:43:43+0000,966,0.7347539,0.07386615,255.0,3.783607,91.0
9,2020-11-10 17:15:05+0000,3173,4.347826,0.06811989,11823.0,0.2683696,347.0
9,2020-11-10 12:39:21+0000,1858,1.2515644,0.109986804,7321.0,0.2536448,205.0
16,2020-11-10 11:33:27+0000,3621,0.0,1.8000001,0.0,0.0,217.0
9,2020-11-10 11:15:25+0000,702,7.0921984,0.06303183,3426.0,0.20459959,60.0
9,2020-11-09 11:52:12+0000,1175,4.424779,0.07237985,3398.0,0.3457562,161.0
16,2020-11-09 10:47:27+0000,3632,0.0,1.8000001,0.0,0.0,229.0
9,2020-11-09 10:29:12+0000,891,1.1261262,0.08234519,3188.0,0.27909604,118.0
9,2020-11-06 21:52:43+0000,2779,1.650165,0.07877737,10379.0,0.26764983,304.0
9,2020-11-06 19:24:21+0000,2010,1.1792454,0.05826487,8909.0,0.22548519,178.0
9,2020-11-05 17:31:07+0000,1209,1.5384616,0.06784721,3417.0,0.35351968,219.0
9,2020-11-04 20:22:29+0000,1319,2.2222223,0.12189175,4431.0,0.29767504,162.0
16,2020-11-04 19:04:08+0000,3236,0.0,1.8000001,0.0,0.0,182.0
9,2020-11-04 18:23:40+0000,894,0.74515647,0.08304958,4719.0,0.18941456,163.0
9,2020-11-03 20:32:39+0000,1152,2.2573364,0.068653025,3439.0,0.3346408,73.0
16,2020-11-03 19:24:02+0000,5234,0.0,1.8000001,0.0,0.0,284.0
9,2020-11-03 19:06:51+0000,880,0.952381,0.06294851,3514.0,0.25009927,86.0
9,2020-11-02 17:14:57+0000,1062,2.8735633,0.06765442,3436.0,0.30906403,73.0
16,2020-11-02 16:20:56+0000,4289,0.0,1.8000001,0.0,0.0,262.0
9,2020-11-02 16:01:07+0000,736,1.1363636,0.058851223,3536.0,0.20814125,63.0
9,2020-10-28 00:03:44+0000,898,0.9469697,0.070501976,3449.0,0.2600312,126.0
16,2020-10-27 22:57:55+0000,3878,0.0,1.8000001,0.0,0.0,158.0
9,2020-10-27 22:37:43+0000,797,1.1904762,0.055484656,3531.0,0.2253993,81.0
9,2020-10-26 23:03:25+0000,987,1.6393442,0.0706564,3429.0,0.28753227,117.0
16,2020-10-26 21:56:02+0000,3736,0.0,1.8000001,0.0,0.0,243.0
9,2020-10-26 21:38:19+0000,1019,1.6949153,0.0654279,3563.0,0.28570747,134.0
9,2020-10-23 23:01:51+0000,1056,8.403361,0.0697788,3422.0,0.30856284,99.0
16,2020-10-23 21:57:12+0000,3853,0.0,1.8000001,0.0,0.0,184.0
9,2020-10-23 21:40:58+0000,937,1.0245901,0.07591285,3400.0,0.2752306,111.0
9,2020-10-22 23:01:57+0000,1042,0.94428706,0.07227522,3472.0,0.30003592,91.0
16,2020-10-22 21:56:09+0000,3644,0.0,1.8000001,0.0,0.0,173.0
9,2020-10-22 21:35:18+0000,736,5.0,0.057623602,3412.0,0.2157016,86.0
16,2020-10-01 22:00:43+0000,3613,0.0,1.8000001,0.0,0.0,242.0
9,2020-09-30 23:05:46+0000,989,0.89445436,0.069056004,3387.0,0.29192123,144.0
16,2020-09-30 22:08:13+0000,3344,0.0,1.8000001,0.0,0.0,282.0
9,2020-09-30 21:41:51+0000,734,1.4367816,0.05878204,3446.0,0.21295005,86.0
9,2020-09-29 23:36:00+0000,955,0.63171196,0.06986167,3430.0,0.2780643,162.0
16,2020-09-29 22:33:17+0000,3470,0.0,1.8000001,0.0,0.0,204.0
9,2020-09-29 22:11:15+0000,849,5.263158,0.06257039,3564.0,0.23816061,149.0
16,2020-09-28 22:02:22+0000,4598,0.0,1.8000001,0.0,0.0,315.0
16,2020-09-28 21:56:55+0000,295,0.0,1.8000001,0.0,0.0,4.0
9,2020-09-27 12:23:55+0000,3274,2.5974026,0.09783779,9136.0,0.35836253,307.0
9,2020-09-27 12:04:55+0000,1112,1.8181818,0.12214486,761.0,1.4596869,69.0
