type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
9,2021-09-05 11:12:43+0000,11204,2.631579,0.05712001,41368.0,0.27081162,2429.0
9,2021-08-25 11:14:53+0000,1813,2.8735633,0.10372368,7545.0,0.24027823,491.0
9,2021-08-24 23:57:48+0000,1954,0.6793478,0.07256367,10496.0,0.18616298,624.0
9,2021-08-23 15:03:30+0000,965,1.1198208,0.064466216,3452.0,0.2794974,191.0
9,2021-08-22 21:40:31+0000,43790,3.030303,0.074704915,10026.0,4.3674703,659.0
9,2021-08-16 19:36:02+0000,1406,1.4204545,0.074493445,3473.0,0.40452996,225.0
9,2021-08-15 14:24:58+0000,6878,2.0833335,0.07342144,24302.0,0.2830127,1471.0
9,2021-08-14 14:30:41+0000,1424,1.4084507,0.075987846,3448.0,0.4126433,226.0
9,2021-08-14 12:49:55+0000,2712,0.9140768,0.08760403,3501.0,0.7741747,200.0
9,2021-08-11 15:31:25+0000,13055,2.7700832,0.089221984,12011.0,1.0868226,766.0
9,2021-08-09 17:54:02+0000,5618,3.1948884,0.07797271,24123.0,0.23284356,1490.0
9,2021-07-05 19:35:22+0000,2790,1.4E-45,3.4028235E38,8534.0,0.3269116,250.0
9,2021-07-05 16:29:27+0000,4684,1.098901,0.29585797,5644.0,0.8296067,157.0
8,2021-06-03 21:36:47+0000,2385,1.7580326,0.5670053,375.0,6.351,13.0
16,2021-06-03 20:55:16+0000,2289,0.0,1.8000001,0.0,0.0,84.0
9,2021-06-01 17:05:11+0000,857,1.1990408,0.09377345,3334.0,0.2570009,199.0
9,2021-06-01 15:42:05+0000,771,8.264462,0.077339515,3482.0,0.22110848,196.0
9,2021-05-28 18:08:42+0000,1206,1.098901,0.08616976,3537.0,0.34094298,224.0
9,2021-05-28 16:38:50+0000,937,7.7519383,0.058088876,3414.0,0.2741222,185.0
9,2021-05-25 17:08:21+0000,966,0.7739938,0.07380619,3479.0,0.27732617,210.0
9,2021-05-25 15:44:01+0000,946,8.62069,0.07988497,3521.0,0.26834548,196.0
9,2021-05-20 15:38:37+0000,975,0.8673027,0.06680473,3464.0,0.2811059,200.0
9,2021-05-08 15:37:17+0000,2766,2.2222223,0.08194706,11098.0,0.24912305,252.0
9,2021-05-07 23:26:48+0000,2134,2.857143,0.08069071,10525.0,0.20275469,238.0
